# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12980
#@/user_id	lab_macos
a 	吖	c=1 d=1.22815e-06 t=12980
ren he 	任何	c=5 d=0.113609 t=12980
ren hua 	人話	c=2 d=1.07645e-06 t=12980
ren lei 	人類	c=1 d=5.51844e-07 t=12980
ren li 	人力	c=1 d=9.07488e-06 t=12980
ren lian 	人臉	c=0 d=0.000141589 t=12980
ren lian men jin 	人臉門禁	c=1 d=0.00142298 t=12980
ren rou 	人肉	c=2 d=0.571209 t=12980
ren shi 	人士	c=1 d=0.45612 t=12980
ren song 	人送	c=1 d=5.65718e-05 t=12980
ren song 	認慫	c=0 d=5.65718e-06 t=12980
ren song le 	認慫了	c=1 d=0.000302265 t=12980
ren ting 	任聽	c=0 d=1.83662e-06 t=12980
ren ting duo 	人挺多	c=1 d=7.284e-08 t=12980
ren tong 	認同	c=1 d=0.163654 t=12980
ren wei 	認爲	c=4 d=0.290835 t=12980
ren wu 	任務	c=4 d=0.00238156 t=12980
ren yi 	任意	c=1 d=3.85009e-07 t=12980
ren yuan 	人員	c=3 d=3.03389e-13 t=12980
ren zheng 	認證	c=7 d=1.30777e-06 t=12980
reng 	仍	c=1 d=3.05216e-10 t=12980
reng 	扔	c=1 d=0.00386807 t=12980
reng diao 	扔掉	c=1 d=0.00358858 t=12980
reng wei 	仍未	c=0 d=3.47648e-13 t=12980
reng wei ding wei 	仍未定位	c=1 d=3.49391e-12 t=12980
reng zai 	仍在	c=1 d=0.00384878 t=12980
ri 	日	c=1 d=0.782705 t=12980
ri bao 	日報	c=7 d=2.62241 t=12980
ri qi 	日期	c=1 d=0.111359 t=12980
ri zhi 	日誌	c=13 d=0.534237 t=12980
rong cuo 	容錯	c=1 d=0.0195457 t=12980
rong liang 	容量	c=4 d=0.445822 t=12980
rong qi 	容器	c=56 d=0.0333809 t=12980
rong ru 	融入	c=1 d=0.283654 t=12980
rong yi 	容易	c=1 d=0.0228227 t=12980
rong yu 	冗餘	c=1 d=4.23594e-13 t=12980
rong zai 	容災	c=1 d=1.44149e-08 t=12980
ru guo 	如果	c=19 d=0.668811 t=12980
ru he 	如何	c=4 d=0.371762 t=12980
ru hu 	入戶	c=1 d=0.299692 t=12980
ru men 	入門	c=1 d=0.865022 t=12980
ru xiao 	入校	c=1 d=3.68957e-06 t=12980
ruan 	軟	c=2 d=0.642242 t=12980
ruan jian 	軟件	c=14 d=0.170256 t=12980
ruan jian bu 	軟件部	c=1 d=0.00135358 t=12980
ruan lu you 	軟路由	c=11 d=3.96978 t=12980
ruo mi ma 	弱密码	c=1 d=0.000796726 t=12980
sa 	仨	c=2 d=0.0689068 t=12980
sa huang 	撒謊	c=0 d=2.58123e-10 t=12980
san 	三	c=0 d=0.00407622 t=12980
san ceng 	三層	c=2 d=5.38855e-08 t=12980
san ge 	三個	c=1 d=1.20424e-10 t=12980
san ju 	三句	c=1 d=0.0323869 t=12980
san lian 	三聯	c=1 d=0.178173 t=12980
san liang tai 	三兩臺	c=1 d=0.0409665 t=12980
san qi 	三期	c=1 d=3.89951e-10 t=12980
san re 	散熱	c=1 d=0.0017555 t=12980
san ren zu 	三人組	c=1 d=0.0328764 t=12980
san si 	三四	c=0 d=2.6e-07 t=12980
san si tai 	三四臺	c=1 d=2.61303e-06 t=12980
san wu 	三五	c=0 d=0.00461896 t=12980
san wu tai 	三五臺	c=1 d=0.0464212 t=12980
sei 	塞	c=1 d=0.00499159 t=12980
sha 	啥	c=41 d=2.01937 t=12980
sha dou 	啥都	c=1 d=0.0713613 t=12980
sha dou hui 	啥都會	c=1 d=0.0710054 t=12980
sha gua 	傻瓜	c=2 d=1.43787 t=12980
sha guan xi 	啥關係	c=3 d=1.36845 t=12980
sha mu lu 	啥目錄	c=1 d=0.121238 t=12980
sha qing kuang 	啥情況	c=5 d=0.763379 t=12980
sha shi 	啥事	c=0 d=0.00800583 t=12980
sha shi bu gan 	啥事不幹	c=1 d=0.0804596 t=12980
sha shi hou 	啥時候	c=7 d=0.279359 t=12980
sha wan 	沙灣	c=0 d=7.77055e-05 t=12980
sha wan na yi 	沙灣那一	c=1 d=0.00078095 t=12980
sha wan yi 	啥玩意	c=4 d=0.000930936 t=12980
sha yang 	啥樣	c=3 d=0.024476 t=12980
sha ye bu shi 	啥也不是	c=1 d=0.000958635 t=12980
sha yi si 	啥意思	c=8 d=1.03403 t=12980
sha yuan yin 	啥原因	c=1 d=0.0495388 t=12980
shan 	刪	c=1 d=0.00425356 t=12980
shan 	衫	c=1 d=0.000845993 t=12980
shan chu 	刪除	c=11 d=1.57818 t=12980
shang 	上	c=30 d=2.23958 t=12980
shang ban 	上班	c=8 d=0.970446 t=12980
shang bao 	上報	c=3 d=4.52589e-09 t=12980
shang bu le 	上不了	c=1 d=0.193013 t=12980
shang ci 	上次	c=2 d=0.00211225 t=12980
shang dan wei 	上單位	c=2 d=0.704688 t=12980
shang dao 	上道	c=1 d=8.6367e-12 t=12980
shang ge yue 	上個月	c=1 d=0.00331267 t=12980
shang hai 	上海	c=2 d=0.228759 t=12980
shang lai 	上來	c=2 d=0.289384 t=12980
shang le 	上了	c=1 d=0.000162866 t=12980
shang lian 	上聯	c=3 d=0.723314 t=12980
shang mian 	上面	c=1 d=0.0588605 t=12980
shang qu 	上去	c=2 d=0.0432828 t=12980
shang tou 	上頭	c=1 d=0.00410726 t=12980
shang wang 	上網	c=1 d=0.00305798 t=12980
shang wu 	上午	c=11 d=2.12248 t=12980
shang yong 	商用	c=1 d=0.00318278 t=12980
shang zhou 	上週	c=4 d=9.05733e-05 t=12980
shao 	少	c=1 d=2.51057e-06 t=12980
shao deng 	稍等	c=4 d=0.00562801 t=12980
shao hou 	稍後	c=2 d=1.39504e-05 t=12980
shao wei 	稍微	c=2 d=0.0005342 t=12980
shao zhuo 	燒灼	c=1 d=2.49805e-06 t=12980
she bei 	設備	c=17 d=1.0555 t=12980
she ji 	涉及	c=3 d=0.458406 t=12980
she ji 	設計	c=2 d=6.16116e-09 t=12980
she me 	什麼	c=8 d=0.931837 t=12980
she qu 	社區	c=1 d=3.59041e-09 t=12980
she shi 	設施	c=2 d=0.00279479 t=12980
she zhi 	設置	c=12 d=0.521498 t=12980
shei 	誰	c=13 d=0.643824 t=12980
shei lai 	誰來	c=1 d=0.0266491 t=12980
shen du 	深度	c=1 d=1.03347e-05 t=12980
shen fen 	身份	c=5 d=0.0152222 t=12980
shen fen ren zheng 	身份認證	c=3 d=2.77006e-07 t=12980
shen fen zheng hao 	身份證號	c=2 d=0.379083 t=12980
shen jing 	神經	c=1 d=0.209088 t=12980
shen me 	什麼	c=26 d=0.356687 t=12980
shen me yang 	什麼樣	c=1 d=1.68753e-09 t=12980
shen pi 	審批	c=1 d=0.341298 t=12980
shen qing 	申請	c=14 d=1.48445 t=12980
shen suo 	伸縮	c=1 d=9.97928e-06 t=12980
shen tou 	滲透	c=1 d=2.30082e-09 t=12980
shen yong 	慎用	c=1 d=0.0523397 t=12980
shen zhen 	深圳	c=2 d=0.229906 t=12980
sheng 	省	c=1 d=1.06807e-10 t=12980
sheng chan 	生產	c=1 d=4.14135e-12 t=12980
sheng cheng 	生成	c=5 d=0.223281 t=12980
sheng dong 	生動	c=1 d=0.166127 t=12980
sheng ji 	升級	c=19 d=0.141172 t=12980
sheng ji wo 	升級我	c=1 d=6.94433e-05 t=12980
sheng jing 	聖經	c=1 d=0.210136 t=12980
sheng ming 	聲明	c=8 d=0.382893 t=12980
sheng ming shi 	聲明式	c=3 d=4.04006e-06 t=12980
sheng sheng shi shi 	生生世世	c=1 d=1 t=12977
sheng tai 	生態	c=1 d=4.0783e-08 t=12980
sheng xia 	剩下	c=1 d=0.831104 t=12980
shi 	使	c=4 d=0.00284942 t=12980
shi 	式	c=1 d=4.6786e-07 t=12980
shi 	是	c=181 d=5.60778 t=12980
shi 	時	c=6 d=0.00802365 t=12980
shi 	試	c=2 d=0.00107547 t=12980
shi ba 	是吧	c=7 d=0.259622 t=12980
shi bai 	失敗	c=1 d=6.14421e-06 t=12980
shi bie 	識別	c=1 d=8.23535e-11 t=12980
shi bu shi 	是不是	c=29 d=0.848121 t=12980
shi bu shi 	時不時	c=1 d=0.0335406 t=12980
shi da fu 	士大夫	c=2 d=1.31306 t=12980
shi da fu shi da fu 	士大夫士大夫	c=1 d=1 t=12980
shi de 	似的	c=1 d=0.0241131 t=12980
shi de 	使得	c=1 d=1.05675 t=12980
shi de li kai jia shi da fu kuai jin lai 	使得離開家士大夫快進來	c=1 d=1 t=12980
shi de shi da fu 	使得士大夫	c=1 d=1 t=12978
shi dong fei dong 	似懂非懂	c=1 d=0.918512 t=12980
shi duo ge 	十多個	c=1 d=0.00108628 t=12980
shi er 	事兒	c=7 d=0.0212976 t=12980
shi er dian 	十二點	c=1 d=5.94824e-07 t=12980
shi er dian duo 	十二點多	c=1 d=0.0123389 t=12980
shi fen zhong 	十分鐘	c=3 d=0.0902655 t=12980
shi fou 	是否	c=26 d=3.54994 t=12980
shi ge 	是個	c=1 d=0.000122794 t=12980
shi guo 	試過	c=0 d=0.0123687 t=12980
shi guo me 	試過麼	c=1 d=0.124307 t=12980
shi he 	適合	c=1 d=0.00726273 t=12980
shi hou 	時候	c=10 d=0.595292 t=12980
shi ji 	實際	c=2 d=0.00527352 t=12980
shi ji pei zhi 	實際配置	c=1 d=0.0043831 t=12980
shi ji qing kuang 	實際情況	c=1 d=6.99839e-08 t=12980
shi ji shang 	實際上	c=2 d=9.70776e-05 t=12980
shi jian 	事件	c=1 d=0.00110822 t=12980
shi jian 	實踐	c=2 d=0.000583341 t=12980
shi jian 	時間	c=19 d=1.47609 t=12980
shi jiao 	視角	c=1 d=3.39711e-05 t=12980
shi le 	溼了	c=1 d=2.96297e-14 t=12980
shi le shi 	試了試	c=1 d=3.19374e-14 t=12980
shi li 	實例	c=4 d=0.000126862 t=12980
shi li 	實力	c=1 d=0.0280154 t=12980
shi li 	示例	c=2 d=9.90387e-05 t=12980
shi li ce 	是蠡測	c=1 d=0.19593 t=12980
shi liu 	十六	c=0 d=0.00357931 t=12980
shi liu ji 	十六級	c=1 d=0.0359725 t=12980
shi ma 	是嗎	c=2 d=1.65132e-11 t=12980
shi nian nei 	十年內	c=1 d=0.00431784 t=12980
shi o 	是喔	c=0 d=1.64134e-07 t=12980
shi o na ge 	是喔那個	c=2 d=3.7037e-05 t=12980
shi o na ge yu 	是喔那個與	c=1 d=0.000218221 t=12980
shi pei 	適配	c=1 d=0.00252883 t=12980
shi pin 	視頻	c=6 d=0.000926354 t=12980
shi pin hui yi 	視頻會議	c=4 d=0.000122182 t=12980
shi sha 	是啥	c=1 d=0.171187 t=12980
shi shei 	是誰	c=1 d=2.42463e-08 t=12980
shi sheng 	師生	c=0 d=5.6445e-09 t=12980
shi sheng duan 	師生端	c=2 d=1.17874e-07 t=12980
shi shi 	實施	c=4 d=0.951229 t=12980
shi shi 	試試	c=7 d=0.88692 t=12980
shi shi ba 	試試吧	c=1 d=1.21049e-12 t=12980
shi shi kan 	試試看	c=2 d=0.082085 t=12980
shi shi kan xian 	試試看先	c=1 d=0.0948935 t=12980
shi tu 	視圖	c=3 d=4.13516e-08 t=12980
shi xian 	實現	c=2 d=0.527716 t=12980
shi xiao 	失效	c=1 d=0.00349997 t=12980
shi yan 	實驗	c=1 d=4.16281e-14 t=12980
shi yao 	是要	c=0 d=3.66356e-12 t=12980
shi yong 	使用	c=27 d=0.565626 t=12980
shi yong 	適用	c=1 d=2.91687e-06 t=12980
shi yong lv 	使用率	c=1 d=1.36435e-08 t=12980
shi yong yu 	適用於	c=2 d=0.00504254 t=12980
shi you 	是由	c=1 d=0.628135 t=12980
shi zai bu xing 	實在不行	c=1 d=1.39192e-08 t=12980
shi zhi 	是指	c=1 d=0.110251 t=12980
shi zhong 	始終	c=2 d=1.07458e-05 t=12980
shi zhong 	時鐘	c=1 d=4.45161e-09 t=12980
shou 	手	c=1 d=0.000850233 t=12980
shou 	收	c=1 d=6.8764e-07 t=12980
shou ce 	手冊	c=1 d=2.86602e-05 t=12980
shou ci 	首次	c=1 d=0.00486835 t=12980
shou dao 	收到	c=5 d=0.227638 t=12980
shou dong 	手動	c=4 d=0.25284 t=12980
shou du shao shang shuang 	手度烧伤双	c=1 d=0.869358 t=12980
shou hou 	售後	c=1 d=0.00145901 t=12980
shou ji 	手機	c=3 d=0.245588 t=12980
shou ji 	收集	c=3 d=4.85744e-06 t=12980
shou li 	手裏	c=2 d=7.50584e-08 t=12980
shou quan 	授權	c=2 d=3.12547e-10 t=12980
shou shi shuai 	收視率	c=1 d=0.856415 t=12980
shu 	數	c=6 d=0.0824965 t=12980
shu 	鼠	c=1 d=0.980199 t=12980
shu fu 	舒服	c=1 d=0.0544757 t=12980
shu ju 	數據	c=6 d=0.975368 t=12980
shu ju cun chu 	數據存儲	c=1 d=6.8103e-11 t=12980
shu ju ku 	數據庫	c=11 d=0.118891 t=12980
shu ju pan 	數據盤	c=1 d=0.839457 t=12980
shu ju zhong xin 	數據中心	c=4 d=0.0444384 t=12980
shu li 	梳理	c=1 d=0.00144449 t=12980
shu liang 	數量	c=15 d=0.12307 t=12980
shu mi ma 	輸密碼	c=1 d=2.18898e-11 t=12980
shu ru fa 	輸入法	c=8 d=4.32958 t=12980
shu xi 	熟悉	c=2 d=0.0564161 t=12980
shu xing 	屬性	c=1 d=0.000156885 t=12980
shu xu guan 	鼠鬚管	c=9 d=2.20674 t=12980
shu yu 	屬於	c=2 d=0.000160856 t=12980
shu zi 	數字	c=1 d=0.000111666 t=12980
shu zu 	數組	c=13 d=1.34316 t=12980
shua 	刷	c=2 d=0.869358 t=12980
shua yi xia 	刷一下	c=1 d=0.196912 t=12980
shuai 	帥	c=2 d=0.879957 t=12980
shuai 	甩	c=1 d=7.86896e-05 t=12980
shuai guo 	甩锅	c=4 d=3.99797e-08 t=12980
shuang 	爽	c=2 d=0.048349 t=12980
shuang xiang 	雙向	c=1 d=1.43431e-08 t=12980
shui 	水	c=1 d=0.71177 t=12980
shui ping 	水平	c=1 d=0.802519 t=12980
shun dao 	順道	c=1 d=0.00357068 t=12980
shun jian 	瞬間	c=1 d=3.83023e-05 t=12980
shun xu 	順序	c=4 d=0.806541 t=12980
shuo 	說	c=33 d=1.46376 t=12980
shuo bai le 	說白了	c=1 d=0.404542 t=12980
shuo de 	說的	c=2 d=1.15063e-12 t=12980
shuo fa 	說法	c=1 d=0.167797 t=12980
shuo hua 	說話	c=1 d=0.000135709 t=12980
shuo ming 	說明	c=1 d=0.203926 t=12980
shuo na 	說那	c=0 d=0.019398 t=12980
shuo na ge 	說那個	c=1 d=0.194952 t=12980
shuo ni 	說你	c=1 d=0.0256042 t=12980
shuo sha 	說啥	c=1 d=0.226502 t=12980
shuo shi 	說是	c=1 d=0.0122773 t=12980
shuo shi hua 	說實話	c=1 d=0.00540733 t=12980
shuo shuo 	說說	c=3 d=2.99555e-06 t=12980
shuo xia 	說下	c=1 d=1.04656e-06 t=12980
si 	四	c=1 d=3.50057e-05 t=12980
si de 	死的	c=1 d=0.0208584 t=12980
si du kong jian 	四度空間	c=0 d=0.1 t=12978
si ge 	四個	c=0 d=9.14398e-08 t=12980
si ge ren 	四個人	c=1 d=0.000191619 t=12980
si hu 	似乎	c=1 d=0.00551656 t=12980
si lu 	思路	c=2 d=0.951229 t=12980
si qi 	四期	c=1 d=3.97829e-10 t=12980
si qian 	四千	c=1 d=0.0645703 t=12980
si tian 	四天	c=1 d=8.05418e-14 t=12980
si wo le 	死我了	c=1 d=0.559898 t=12980
si wu ge 	四五個	c=1 d=7.10658e-12 t=12980
song 	送	c=1 d=0.00136037 t=12980
song bei 	松北	c=1 d=9.8374e-14 t=12980
song bei qu 	松北區	c=1 d=1.15443e-13 t=12980
song can 	送餐	c=1 d=0.000665481 t=12980
song dian li 	送點禮	c=1 d=6.60565e-05 t=12980
song ou he 	松耦合	c=1 d=6.44475e-09 t=12980
song ta ta 	松塌塌	c=0 d=7.7518e-06 t=12980
song wo 	送我	c=1 d=0.290835 t=12980
sou 	搜	c=1 d=0.18452 t=12980
sou gou 	搜狗	c=2 d=0.909824 t=12980
su du 	速度	c=4 d=0.286505 t=12980
su feng 	塑封	c=1 d=1.48514e-06 t=12980
su lv 	速率	c=1 d=6.47705e-09 t=12980
su zhou 	蘇州	c=1 d=0.19205 t=12980
suan 	算	c=2 d=0.786628 t=12980
suan le 	算了	c=1 d=2.55468e-05 t=12980
suan shang 	算上	c=1 d=6.20702e-08 t=12980
sui 	隋	c=2 d=0.000466933 t=12980
sui bian 	隨便	c=5 d=0.760656 t=12980
sui shi 	隨時	c=3 d=0.0297868 t=12980
sui zhe 	隨着	c=2 d=3.28539e-06 t=12980
sun 	孫	c=3 d=0.218712 t=12980
sun hao 	損耗	c=1 d=1.82088e-10 t=12980
sun wei 	孙伟	c=1 d=0.222017 t=12980
suo 	所	c=1 d=8.08904e-06 t=12980
suo tai 	索泰	c=1 d=0.00126478 t=12980
suo xie 	縮寫	c=1 d=3.50963e-06 t=12980
suo xu 	所需	c=1 d=7.54474e-10 t=12980
suo xuan 	所選	c=1 d=0.00019549 t=12980
suo yi 	所以	c=4 d=0.436049 t=12980
suo yin 	索引	c=4 d=0.55041 t=12980
suo you 	所有	c=10 d=0.0424257 t=12980
suo you ren 	所有人	c=1 d=0.00606634 t=12980
suo zai 	所在	c=1 d=0.0496585 t=12980
suo zai dan yuan 	所在單元	c=1 d=0.499074 t=12980
ta 	他	c=13 d=0.813681 t=12980
ta 	她	c=2 d=0.00179176 t=12980
ta 	它	c=2 d=0.000336654 t=12980
ta bu shi 	他不是	c=1 d=1.47062e-08 t=12980
ta ding yi 	它定義	c=1 d=0.00190171 t=12980
ta gei wo 	他給我	c=1 d=0.00951391 t=12980
ta ken ding 	他肯定	c=1 d=0.349938 t=12980
ta lia 	他倆	c=2 d=0.315064 t=12980
ta men 	他們	c=21 d=0.788415 t=12980
ta men 	它們	c=7 d=5.10211e-06 t=12980
ta neng yong 	他能用	c=1 d=4.65572e-07 t=12980
ta shi yao ji huo 	他是要激活	c=1 d=3.68193e-11 t=12980
ta shuo 	他說	c=6 d=0.917413 t=12980
ta si ge 	他四個	c=1 d=9.18981e-07 t=12980
ta yao 	他要	c=1 d=3.59102e-11 t=12980
ta zai na 	他在哪	c=1 d=0.00260584 t=12980
tai 	太	c=2 d=0.165299 t=12980
tai 	臺	c=2 d=0.00461924 t=12980
tai da 	太大	c=2 d=0.00351752 t=12980
tai di 	太低	c=1 d=3.35634e-10 t=12980
tai duan le 	太短了	c=1 d=0.109701 t=12980
tai duo 	太多	c=1 d=1.11185e-12 t=12980
tai duo le 	太多了	c=2 d=0.0291588 t=12980
tai e xin le 	太噁心了	c=1 d=3.39007e-10 t=12980
tai hao le 	太好了	c=2 d=0.53988 t=12980
tai ma fan 	太麻煩	c=0 d=0.0554327 t=12980
tai ma fan le 	太麻煩了	c=1 d=0.557106 t=12980
tai meng le 	太猛了	c=1 d=0.0042963 t=12980
tai nan le 	太難了	c=1 d=0.0536647 t=12980
tai qian le 	太淺了	c=2 d=1.65394 t=12980
tai shao 	太少	c=1 d=1.12264e-08 t=12980
tai xiao 	太小	c=1 d=1.71245e-05 t=12980
tai you 	太有	c=0 d=0.00328764 t=12980
tai zhi dao le 	太知道了	c=1 d=1.73922e-11 t=12980
tan hao 	談好	c=1 d=0.579842 t=12980
tan na 	譚娜	c=1 d=0.40657 t=12980
tan tan 	談談	c=1 d=0.0248475 t=12980
tan xing 	彈性	c=1 d=9.9295e-06 t=12980
tang 	燙	c=1 d=0.0780817 t=12980
tao 	套	c=1 d=0.0025415 t=12980
tao bao 	Taobao	c=1 d=0.00124328 t=12980
tao lun 	討論	c=1 d=3.76475e-08 t=12980
tao ma gan 	套馬杆	c=1 d=0.554327 t=12980
te bie 	特別	c=6 d=0.997196 t=12980
te ding 	特定	c=5 d=0.00174579 t=12980
te ding yu 	特定與	c=1 d=0.000194515 t=12980
te shu 	特殊	c=4 d=0.055299 t=12980
ti 	提	c=7 d=0.0117896 t=12980
ti gei wo 	提給我	c=1 d=1.58133e-09 t=12980
ti gong 	提供	c=17 d=0.923471 t=12980
ti gong bu le 	提供不了	c=1 d=0.32628 t=12980
ti huan 	替換	c=1 d=0.031273 t=12980
ti ji ge 	提幾個	c=1 d=0.000165755 t=12980
ti jiao 	提交	c=5 d=0.101266 t=12980
ti le 	提了	c=1 d=0.000237581 t=12980
ti qian 	提前	c=4 d=0.164474 t=12980
ti shi 	提示	c=4 d=0.644069 t=12980
ti ti 	提提	c=1 d=0.0337087 t=12980
ti xi 	體系	c=2 d=0.285076 t=12980
ti xian 	體現	c=2 d=0.00683978 t=12980
ti xian chu 	體現出	c=1 d=0.00744658 t=12980
ti yan 	體驗	c=4 d=0.900231 t=12980
ti yi ge 	提一個	c=1 d=0.0347353 t=12980
tian 	填	c=3 d=0.90711 t=12980
tian 	天	c=3 d=0.509156 t=12980
tian 	舔	c=1 d=2.12393e-09 t=12980
tian hua ban 	天花板	c=1 d=0.00458484 t=12980
tian jia 	添加	c=2 d=3.03591e-06 t=12980
tian sha 	填啥	c=1 d=7.19413e-09 t=12980
tian tian 	天天	c=3 d=0.0702988 t=12980
tian tou 	甜頭	c=1 d=0.0520787 t=12980
tian xie 	填寫	c=4 d=0.450836 t=12980
tiao 	挑	c=1 d=2.71403e-11 t=12980
tiao dong 	跳動	c=1 d=0.000297529 t=12980
tiao jiao 	調教	c=1 d=0.99005 t=12980
tiao shi 	調試	c=2 d=0.637628 t=12980
tiao zheng 	調整	c=3 d=0.0963469 t=12980
tie 	貼	c=1 d=3.42356e-08 t=12980
tie 	鐵	c=2 d=9.35663e-05 t=12980
tie ba 	貼吧	c=1 d=0.00165327 t=12980
ting 	挺	c=6 d=2.98532 t=12980
ting 	聽	c=2 d=1.02099 t=12980
ting bu dong 	聽不懂	c=1 d=5.43628e-07 t=12980
ting dian le 	停電了	c=1 d=0.00247875 t=12980
ting duo 	挺多	c=0 d=7.24768e-09 t=12980
ting gu lao 	聽古老	c=1 d=0.000242381 t=12980
ting gui 	挺貴	c=1 d=1.19226e-10 t=12980
ting hao 	挺好	c=5 d=1.8037 t=12980
ting ji 	停機	c=1 d=4.04817e-09 t=12980
ting ju ti 	挺具體	c=1 d=0.0378169 t=12980
ting ke 	聽課	c=1 d=0.000198445 t=12980
ting la 	停啦	c=1 d=9.2136e-08 t=12980
ting le 	停了	c=2 d=2.11163e-07 t=12980
ting nan 	挺難	c=1 d=0.900334 t=12980
ting qi guai 	挺奇怪	c=1 d=9.24059e-13 t=12980
ting quan 	聽勸	c=1 d=0.00302755 t=12980
ting shuo 	聽說	c=1 d=4.62211e-10 t=12980
ting yi tian 	停一天	c=1 d=0.00256704 t=12980
ting you qu 	挺有趣	c=1 d=0.351692 t=12980
ting zhi 	停止	c=5 d=0.053397 t=12980
tong 	同	c=8 d=0.697676 t=12980
tong 	通	c=8 d=0.70822 t=12980
tong bu 	同步	c=24 d=0.528937 t=12980
tong bu tong 	通不通	c=1 d=0.144424 t=12980
tong bu wan le 	同步完了	c=3 d=9.0767e-08 t=12980
tong bu zhang hao 	同步帳號	c=1 d=3.05268e-12 t=12980
tong chang 	通常	c=4 d=8.18974e-06 t=12980
tong de 	通的	c=7 d=0.0368052 t=12980
tong ge xiao 	通個宵	c=1 d=0.066205 t=12980
tong guo 	通過	c=17 d=0.893171 t=12980
tong hang 	同行	c=1 d=0.000174253 t=12980
tong ji 	統計	c=4 d=2.67462e-08 t=12980
tong ji bie 	同級別	c=1 d=6.75769e-08 t=12980
tong ju 	同居	c=1 d=9.45167e-14 t=12980
tong le 	痛了	c=1 d=0.683861 t=12980
tong shi 	同事	c=1 d=0.000713734 t=12980
tong su 	通俗	c=1 d=5.77244e-07 t=12980
tong xiang 	通向	c=1 d=1.29781e-08 t=12980
tong xin 	通信	c=6 d=2.06841e-06 t=12980
tong xing 	同行	c=1 d=0.382893 t=12980
tong yang 	同樣	c=1 d=0.017953 t=12980
tong yi 	統一	c=3 d=0.00618889 t=12980
tong yi fen 	通一份	c=1 d=1.31086e-08 t=12980
tong yi ge 	同一個	c=2 d=0.146607 t=12980
tong yi shen fen 	統一身份	c=2 d=2.92759e-07 t=12980
tong yi shen fen ren zheng 	統一身份認證	c=1 d=1.52668e-07 t=12980
tong yong 	通用	c=5 d=0.00235786 t=12980
tong zhi 	通知	c=12 d=9.69645e-05 t=12980
tou huan gai nian 	偷換概念	c=1 d=0.00299743 t=12980
tou le 	偷了	c=1 d=5.94925e-09 t=12980
tou mo 	偷摸	c=1 d=0.000916453 t=12980
tou ru 	投入	c=1 d=0.763379 t=12980
tou su 	投訴	c=0 d=3.22419e-09 t=12980
tou xue 	偷學	c=1 d=0.000202454 t=12980
tu 	吐	c=1 d=2.32956e-08 t=12980
tu 	圖	c=3 d=0.276077 t=12980
tu chu 	突出	c=1 d=3.04428e-09 t=12980
tu shu 	圖書	c=2 d=5.17785e-14 t=12980
tu xing ka 	圖形卡	c=6 d=0.600839 t=12980
tuan dui 	團隊	c=2 d=5.69787e-09 t=12980
tuan dui wen jian jia 	團隊文件夾	c=1 d=4.65651e-09 t=12980
tui 	推	c=1 d=0.0057994 t=12980
tui guang 	推廣	c=1 d=0.00806679 t=12980
tui jian 	推薦	c=6 d=0.0523397 t=12980
tui xiao 	推銷	c=1 d=7.2652e-07 t=12980
tui xiu 	退休	c=1 d=0.000261259 t=12980
tui yi tui 	推一推	c=2 d=0.0087895 t=12980
tuo ni 	託尼	c=1 d=6.34664e-05 t=12980
tuo yi tuo 	拖一拖	c=1 d=0.000154549 t=12980
tuo zhan 	拓展	c=0 d=1.66614e-07 t=12980
u buntu 	Ubuntu	c=2 d=0.0668703 t=12980
usb 	USB	c=0 d=8.69802e-08 t=12980
usb ou niao 	USB鷗鳥	c=1 d=8.74162e-07 t=12980
versions 	Versions	c=0 d=0.00632918 t=12980
versions i mac 	VersionsiMac	c=1 d=0.063609 t=12980
versions inboard 	VersionsInboard	c=1 d=0.123687 t=12980
wa kuang 	挖礦	c=1 d=3.39827e-09 t=12980
wai ce 	外側	c=1 d=2.31794e-08 t=12980
wai ceng 	外層	c=2 d=0.152747 t=12980
wai wang 	外網	c=1 d=5.41193e-13 t=12980
wan 	完	c=6 d=0.741235 t=12980
wan 	晚	c=2 d=3.24161e-10 t=12980
wan 	灣	c=2 d=1.50028 t=12980
wan 	玩	c=2 d=1.35732e-06 t=12980
wan cheng 	完成	c=8 d=0.00740061 t=12980
wan de 	玩的	c=2 d=1.6416 t=12980
wan dian 	晚點	c=2 d=0.000129737 t=12980
wan fa 	玩法	c=1 d=0.257947 t=12980
wan le 	完了	c=5 d=0.722527 t=12980
wan le ma 	完了嗎	c=1 d=0.0632918 t=12980
wan quan 	完全	c=1 d=0.860708 t=12980
wan shang 	晚上	c=14 d=0.0245864 t=12980
wan shen me 	玩什麼	c=1 d=0.0584257 t=12980
wan shi er 	完事兒	c=1 d=5.80434e-13 t=12980
wan wan 	彎彎	c=1 d=0.744532 t=12980
wan wan 	玩玩	c=2 d=0.470011 t=12980
wan xie 	晚些	c=1 d=1.58569e-12 t=12980
wan yi 	玩意	c=2 d=0.546074 t=12980
wan zhao 	萬兆	c=4 d=2.27792e-08 t=12980
wan zhao duan kou 	萬兆端口	c=1 d=2.17207e-08 t=12980
wang 	往	c=1 d=8.8967e-08 t=12980
wang 	忘	c=2 d=0.00263203 t=12980
wang 	王	c=1 d=7.66137e-14 t=12980
wang 	網	c=6 d=0.704688 t=12980
wang duan 	網段	c=3 d=0.00189376 t=12980
wang ge 	網格	c=2 d=0.000563241 t=12980
